Title,Employer,Location,Date,Description,Industry,Source,Link
Barber / Stylist with Signing Bonus,Tommyguns,Location Unknown,"Jun 19, 2024","Exciting Opportunity: Join our Team at Tommy Gun's Lower Sackville + receive a $1,500 Signing BONUS! We're thrilled to announce the expansion of our Tommy Gun's team with a third location opening in the Halifax area , located at Downsview Plaza in...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/barber-stylist-with-signing-bonus-50524634
Aquatic Science Technician,Employment and Social Development Canada,Moncton,"Jun 19, 2024","Reference number: DFO23J-109297-000032 Selection process number: 23-DFO-GLF-EA-576946 Fisheries and Oceans Canada- Sciences Moncton(New Brunswick) EG-04, EG-05 $63,720 to $85,272 For further information on the organization, please visit Fisheries...","Engineers, Architects, IT, Natural Science",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/aquatic-science-technician-50530918
Visitor Services Attendant II - Kouchibouguac National Park - ANTICIPATORY,Employment and Social Development Canada,Location Unknown,"Jun 19, 2024",Visitor Services Attendant II - Kouchibouguac National Park - ANTICIPATORY Reference number: CAP22J-019430-000167 Selection process number: 2022-CAP-NNBFU-KOU-INDS-024 Parks Canada- Northern New Brunswick Field Unit Kouchibouguac National Park of...,"Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/visitor-services-attendant-ii-kouchibouguac-national-park-anticipatory-50532528
Detachment Services Assistant ANTICIPATORY,Employment and Social Development Canada,Location Unknown,"Jun 19, 2024","Detachment Services Assistant ANTICIPATORY Reference number: RCM24J-136595-000179 Selection process number: 24-RCM-EA-X-J-FRED-DSA-129426 Royal Canadian Mounted Police Richibucto(New Brunswick) CR-05- CK-05 $61,154 to $66,206 Closing date:20 June...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/detachment-services-assistant-anticipatory-50530590
Marine Technician,Boatingindustry,Saint John,"Jun 19, 2024","SeaMasters Marine Service 901 Ashburn Rd, Saint John, NB E2K 5J9 Job Summary We have an immediate opening for a Marine Technician: We are looking to add a new member to our team! Do you like engines, boats, a dynamic and interesting work...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/marine-technician-50532165
Learning Specialist - Early Childhood Provincial Autism Training,Department of Education and Early Childhood Development,Fredericton,"Jun 19, 2024",CONTRACT OPEN Learning Specialist – Early Childhood Provincial Autism Training Department of Education and Early Childhood Development Fredericton / Flexible Work Location within New Brunswick At the Department of Education and Early Childhood...,"Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2082943/department-of-education-and-early-childhood-development/learning-specialist-early-childhood-provincial-autism-training/fredericton-nb
Opportunities for Summer Student General Labourer Positions,"J.D. Irving, Limited",Location Unknown,"Jun 19, 2024","Opportunities for Summer Student General Labourer Positions Opportunities for Summer Students - General Labourers Kent Homes is currently hiring Summer Students – General Labourers for our Bouctouche, NB location. A student returning to a...",Unclassified occupation,Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/opportunities-for-summer-student-general-labourer-positions-50526768
Truck Driver,J.D. IRVING,Saint John,"Jun 19, 2024","Atlas Structural Systems is a manufacturer specializing in the design and manufacture of pre-engineered structural systems for commercial and residential construction projects in Eastern Canada. Our integrated roof, wall, and floor systems offer...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/truck-driver-50531581
Painter,DAVI Painting,Memramcook,"Jun 19, 2024","Employer Name: Dale McIntyre o/a Davi Painting SpiderID: 13772768 Location: Moncton/Memramcook, New Brunswick Date Posted: 6/19/2024 Wage: Category: Building Trades/Construction Job Code: Number Of Openings: 2 Job Description: 20.00 to 25.00 hourly...","Trades, Transport, Construction",JobSpider,https://www.jobspider.com/job/view-job-13772768.html
Heavy Truck Technician ( Apprentice or Licensed ),Peterbilt Atlantic,Moncton,"Jun 19, 2024","If you are looking for a fast-paced, customer-focused environment where you can start your career or grow your skills alongside one of the best teams of mechanics in Atlantic Canada, Peterbilt Atlantic is the place to do it. Peterbilt Atlantic now...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/heavy-truck-technician-apprentice-or-licensed--50530416
Packer - Manufacturing,Sabian Cymbal,Meductic,"Jun 19, 2024",Overview Languages English Education - Secondary (high) school graduation certificate - or equivalent experience Experience Will train Work site environment - Noisy Work setting - Warehouse - Delivery and courier service Responsibilities Tasks -...,"Farming, Fishing & Natural Resources",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41308448?source=searchresults
Youth soccer coach,Soccer Shots Franchising,Location Unknown,"Jun 19, 2024","If you have a passion for soccer and want to positively impact children’s lives, then let’s connect today! Soccer Shots is an engaging children’s soccer program with a focus on character development. We offer a Traditional Program to meet the...","Arts, Cultural, Recreation, Sports",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/youth-soccer-coach-50526127
YOUTH SOCCER INSTRUCTOR,Soccer Shots Franchising,Location Unknown,"Jun 19, 2024","If you have a passion for soccer and want to positively impact children’s lives, then let’s connect today! Soccer Shots is an engaging children’s soccer program with a focus on character development. We offer a Traditional Program to meet the...","Social, Legal, Education, Gov't",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/youth-soccer-instructor-50529480
Production Worker,MAXSYS,Dieppe,"Jun 19, 2024",Loading... MaxSys Staffing & Consulting will not sponsor individuals for employment visas. Only Candidates authorized to work in Canada will be contacted. MaxSys is currently recruiting a detail-oriented and technically proficient assembly line...,"Processing, Manufacturing, Utilities",MAXSYS,https://hire.myavionte.com/app/careers/#/job/1d4HN8wmC54
LABOURER - CASUAL,Port Saint John,Saint John,"Jun 19, 2024",6-month term position - approximately June to December The Opportunity: Port Saint John is part of the critical transportation infrastructure of Canada and a cornerstone of the New Brunswick economy. Port Saint John is Atlantic Canada's largest port...,"Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/labourer-casual-50530996
Appliance Repair Technician,LG,Moncton,"Jun 19, 2024","Appliance Repair Technician - Moncton, NB Monday, April 22, 2024 At LG, innovation is the foundation of everything we do.We make products and services that make lives better, easier and happier through increased functionality and fun. Put simply, we...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/appliance-repair-technician-50534252
Administrative Assistant,Great Canadian Timber,Fredericton,"Jun 19, 2024","Do you thrive in a dynamic and challenging environment with opportunities for continuous growth and development? Do you want to challenge yourself and build your career with a company that encourages you to be your best, as we forge ahead as a...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/administrative-assistant-50528170
Retail Store Supervisor,Mobil Gas Station,Bathurst,"Jun 19, 2024","Employer Name: Mobil Gas Station SpiderID: 13772908 Location: Bathurst, New Brunswick Date Posted: 6/19/2024 Wage: 17.50 Category: Retail/Counter/Merchandising Job Code: 62010 Number Of Openings: 1 Job Description: Location: 700 St Peter Ave,...","Sales, Services",JobSpider,https://www.jobspider.com/job/view-job-13772908.html
Retail Store Supervisor,Mobil Gas Station,Bathurst,"Jun 19, 2024",Overview Languages English Education - Secondary (high) school graduation certificate Experience 1 year to less than 2 years Work setting - Retail business Responsibilities Tasks - Assign sales workers to duties - Hire and train or arrange for...,"Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41309733?source=searchresults
Food Service Supervisor,TIM Hortons,Rogersville,"Jun 19, 2024",Overview Languages English Education - Secondary (high) school graduation certificate Experience 1 year to less than 2 years Work setting - Food service establishment - Coffee shop - Fast food outlet or concession Responsibilities Tasks - Establish...,"Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41308446?source=searchresults
Opportunities for Truck Drivers - NB,Sunbury Transport Limited,Saint John,"Jun 19, 2024","Truck Driver We are currently hiring Truck Drivers. These are permanent, full time roles with year-round steady work. Sunbury offers competitive pay package, performance bonuses, Health, Drug & Dental Benefits, Vacation Pay, RRSPs, Sign-on bonus and...","Trades, Transport, Construction",Sunbury Transport Limited,https://careers.jdirving.com/jobs/opportunities-for-truck-drivers-nb-35401
Reset Merchandiser PT,CrossMark,Moncton,"Jun 19, 2024",Description : Job Posting CROSSMARK is a leading sales and marketing services company and are currently recruiting for a Reset Merchandiser. The Reset Merchandiser will be responsible for leading or assisting in large-scale rearrangement of a...,"Business, Finance, Administration",CrossMark,https://crossmark.jibeapply.com/jobs/291793
Spécialiste de la Saisie de Données / Data Entry Specialist,AMERISOURCEBERGEN CORP.,Location Unknown,"Jun 19, 2024","Our team members are at the heart of everything we do. At Cencora, we are united in our responsibility to create healthier futures, and every person here is essential to us being able to deliver on that purpose. If you want to make a difference at...","Business, Finance, Administration",AMERISOURCEBERGEN CORP.,https://myhrabc.wd5.myworkdayjobs.com/en-US/Global/job/Remote-Quebec/Spcialiste-de-la-Saisie-de-Donnes---Data-Entry-Specialist_R2413644
Reimbursement Specialist,AMERISOURCEBERGEN CORP.,Location Unknown,"Jun 19, 2024","Our team members are at the heart of everything we do. At Cencora, we are united in our responsibility to create healthier futures, and every person here is essential to us being able to deliver on that purpose. If you want to make a difference at...",Health,AMERISOURCEBERGEN CORP.,https://myhrabc.wd5.myworkdayjobs.com/en-US/Global/job/CAN--ON--Remote/Reimbursement-Specialist_R2413348
Water / Wastewater Infrastructure Lead – Atlantic Canada,exp Global Inc.,Fredericton,"Jun 19, 2024","External Description Str : As one of Atlantic Canada’s largest and most reputable engineering and architecture firms, EXP is extremely proud to offer a full suite of multidisciplinary consulting services to our clients. We are also 100%...","Engineers, Architects, IT, Natural Science",exp Global Inc.,https://elcn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/requisitions/preview/108595
Service Team Member,Michaels Stores,Fredericton,"Jun 19, 2024","Store - FREDERICTON, NB Deliver friendly customer service, help customers shop our store, and find what they’re looking for. Ensure all customers receive a fast and friendly checkout experience. Complete truck unloading and merchandise duties...",Unclassified occupation,Tapwage_CA,https://tapwage.com/job/88923173-service-team-member
Sorter AM 201,Purolator,Saint John,"Jun 19, 2024","Sorter AM 201 Date: 13 Jun 2024 Location: Saint John, New Brunswick, CA, E2M 5V3 It’s not a package. It’s a promise®. As Canada’s leading integrated freight, package, and logistics provider, we’ve been helping promises get where they need to be for...","Trades, Transport, Construction",Purolator,https://careers.purolator.com/job/Saint-John-Sorter-AM-201-New-E2M-5V3/1178908200/
